DEPT[M],CALIPER[,DEN(CDL),RES(16N),RES(64N),RES[OHM],SANG[DEG,SP[MM],GAM(NAT)
5.16,12.6831,1.39758,26.9819,525.835,315.763,0.470609,-156.221,96.6489
5.18,12.6803,1.52419,26.9861,775.946,315.785,0.470484,-75.9474,96.6489
5.2,12.6803,1.5243,34.7734,776.167,385.146,0.470484,-75.8765,100.893
5.22,12.6807,1.49018,34.7802,1171.47,385.207,0.470484,-75.8765,105.142
5.24,12.6807,1.48734,40.8268,1171.82,385.207,0.470484,-75.8765,105.676
5.26,12.6821,1.54393,40.8322,1171.82,471.53,0.470484,-75.8765,101.432
5.28,12.6821,1.55912,40.8322,1466.52,471.606,0.470484,-75.8765,97.1837
5.3,12.6831,1.66187,44.3593,1466.78,543.998,0.470484,-75.8765,97.7105
5.32,12.6831,1.66464,44.3624,918.072,544.062,0.470484,-75.8765,98.2416
5.34,12.6775,1.68664,36.5752,917.588,544.062,0.470484,-75.8765,98.2421
5.36,12.6775,1.66076,36.5683,541.958,565.862,0.470484,-75.8765,98.2421
5.38,12.6844,1.67643,42.34,541.626,565.881,0.470484,-75.8765,99.3032
5.4,12.6845,1.65007,42.3451,541.626,538.077,0.653581,-75.8765,100.365
5.42,12.6845,1.75024,42.3451,684.782,538.053,0.653739,-75.8765,99.305
5.44,12.6854,1.74119,48.2086,684.905,491.831,0.653739,-81.9867,99.3041
5.46,12.6854,1.63691,48.2137,867.457,491.791,0.744166,-81.9919,99.3041
5.48,12.6891,1.62173,67.8197,867.614,491.791,0.744243,-81.9919,106.732
5.5,12.6891,1.63104,67.8366,917.962,459.266,0.744243,-81.9919,114.167
5.52,12.6886,1.61717,99.4445,918.006,459.239,0.744243,-81.9919,117.357
5.54,12.6886,1.60103,99.4716,878.563,466.991,0.744243,-81.9919,120.543
5.56,12.6872,1.62515,150.181,878.528,466.997,0.744243,-81.9919,121.607
5.58,12.6872,1.64865,150.225,878.528,556.468,0.744243,-81.9919,122.669
5.6,12.6886,1.63395,150.225,760.805,556.547,0.744243,-81.9919,123.731
5.62,12.6886,1.63394,227.044,760.701,556.547,0.744243,-81.9919,124.262
5.64,12.6863,1.70017,227.112,439.78,668.516,0.744243,-81.9919,124.793
5.66,12.6863,1.70023,346.578,439.496,668.614,0.744243,-81.9919,124.794
5.68,12.6826,1.7152,346.684,199.177,763.505,0.37295,-81.9919,124.794
5.7,12.6826,1.71521,522.264,198.965,763.589,0.372622,-81.9919,129.039
5.72,12.6845,1.7845,522.419,198.965,841.227,0.372622,-75.3676,133.287
5.74,12.6845,1.78457,522.419,196.227,841.296,0.586099,-75.3617,137.535
5.76,12.6845,1.79328,832.031,196.225,894.511,0.586288,-75.3617,139.661
5.78,12.6877,1.7933,832.305,241.235,894.558,0.586288,-75.3617,141.785
5.8,12.6877,1.80281,1231.01,241.275,894.558,0.586288,-75.3617,140.195
5.82,12.6761,1.76861,1231.36,241.275,894.442,0.586288,-75.3617,138.602
5.84,12.6761,1.81223,1720.91,313.709,894.442,0.586288,-75.3617,141.784
5.86,12.6538,1.78878,1721.34,313.773,1036.25,0.586288,-75.3617,144.971
5.88,12.6538,1.75956,1721.34,440.035,1036.38,0.586288,-75.3617,146.035
5.9,12.6515,1.74841,2026.2,440.147,1265.8,0.586288,-75.3617,139.668
5.92,12.6515,1.81272,2026.46,673.279,1266,0.586288,-75.3617,133.296
5.94,12.6543,1.8084,1346.34,673.48,1266,0.586288,-75.3617,130.107
5.96,12.6543,1.8084,1345.76,673.48,1339.62,0.789664,-75.3617,126.921
5.98,12.6538,1.68702,768.888,1039.93,1339.68,0.789838,-75.3617,129.571
6,12.6538,1.68692,768.393,1040.25,1822.89,0.759201,-89.7422,132.226
6.02,12.6538,1.82124,768.393,1620.99,1823.3,0.759175,-89.7546,131.698
6.04,12.6538,1.82136,923.501,1621.49,2725.66,0.759175,-89.7546,126.922
6.06,12.6487,1.69921,923.634,2559.61,2726.44,0.759175,-89.7546,122.143
6.08,12.6487,1.6991,1399.57,2560.44,2726.44,0.759175,-89.7546,124.792
6.1,12.6524,1.68854,1399.99,2892.22,3407.11,0.759175,-89.7546,127.447
6.12,12.6524,1.68854,2196.08,2892.51,3407.71,0.759175,-89.7546,122.143
6.14,12.651,1.71054,2196.78,2892.51,2828.4,0.759175,-89.7546,116.833
6.16,12.651,1.71568,2331.09,2892.51,2827.89,0.759175,-89.7546,111.523
6.18,12.651,1.69635,2331.21,2892.51,2612.52,0.759175,-89.7546,110.987
6.2,12.6529,1.74423,2331.21,2892.47,2612.33,0.759175,-89.7546,110.456
6.22,12.6529,1.81902,1991.87,2892.47,2612.33,0.759175,-89.7546,108.864
6.24,12.6519,1.79515,1991.57,2892.47,3439.88,0.644495,-89.7546,107.271
6.26,12.6519,1.7328,1149.49,2892.47,3440.61,0.644393,-89.7546,104.617
6.28,12.6524,1.75082,1148.75,2892.51,3527.17,0.495987,-81.9782,101.962
