DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],RES(64N),RES[OHM],SP[MV],GAM[API],LITHOLOGY DESCRIPTION,Formation,Classified
115.847,2,16.0938,2.32736,20.3185,60.6946,15.5803,164.35,"Fine grained Sandstone , greyish white",Raniganj,Sandstone (SST)
116.447,2,16.2744,2.26261,18.6717,57.5679,15.9647,188.55,"Fine grained Sandstone , greyish white",Raniganj,Sandstone (SST)
116.937,2,16.3815,2.31538,17.1616,63.6456,15.4184,190.624,"Grey Shale ,",Raniganj,Grey Shale
117.637,2,16.5481,2.25777,17.2069,57.2703,14.6495,214.133,Sandy shale ,Raniganj,ss
119.137,2,16.7041,2.34551,17.343,70.9071,15.6789,165.041,Shaly Sandstone,Raniganj,Sandstone (SST)
119.847,2,16.6328,2.00772,7.09428,42.5907,14.8316,247.322,Dark Grey shale,Raniganj,dgs
120.347,2,19.2801,1.67543,6.81848,83.0882,15.3577,144.298,Shaly coal with bright band ,Raniganj,coal
121.047,2,17.0102,2.32944,11.9898,52.8585,16.6527,180.253,Sandy shale ,Raniganj,ss
123.207,2,17.061,2.37304,26.1304,58.5476,14.6697,192.699,Shaly Sandstone,Raniganj,Sandstone (SST)
124.747,2,17.0334,2.32208,24.2993,70.2037,13.7389,102.121,"Fine grained Sandstone , greyish white",Raniganj,Sandstone (SST)
128.847,2,18.2383,2.30641,35.2408,64.6403,14.7507,122.172,"Fine grained Sandstone , greyish white",Raniganj,Sandstone (SST)
128.927,2,18.2008,2.30568,31.8545,64.5823,14.7507,111.801,"Fine grained Sandstone , greyish white",Raniganj,Sandstone (SST)
129.467,2,17.8609,1.83614,16.476,82.5696,14.2448,138.075,Coal,Raniganj,coal
129.747,2,17.7033,1.62118,12.6322,88.0233,13.9413,108.344,Carbonaceous shale,Raniganj,Carb shale
130.667,2,17.6599,1.52571,8.87791,102.299,13.6378,97.2807,Coal,Raniganj,coal
131.237,2,17.5363,2.13501,14.7813,59.2439,12.9498,173.338,Shaly Sandstone,Raniganj,Sandstone (SST)
132.347,2,17.7158,2.35002,25.1247,52.7442,13.8806,236.95,Sandy Shale,Raniganj,ss
134.367,2,17.5385,2.35197,19.8609,54.6599,12.8689,196.847,Sandy Shale With prominent sand bands,Raniganj,ss
134.917,2,17.3384,2.33991,20.6841,54.3121,13.5568,229.345,Grey Shale,Raniganj,Grey Shale
135.267,2,17.1577,2.32431,21.0966,50.7722,13.1117,220.356,Fine grained Sandstone,Raniganj,Sandstone (SST)
135.397,2,17.1084,2.32301,21.6904,51.2364,13.1117,198.23,Shaly Sandstone,Raniganj,Sandstone (SST)
136.847,2,16.3881,2.46445,25.5804,67.7737,11.0073,85.5263,"Fine to medium grained Sandstone,",Raniganj,Sandstone (SST)
138.317,2,16.7159,2.35023,29.471,60.7526,12.8689,93.8235,Medium grained Sandstone ,Raniganj,Sandstone (SST)
139.737,2,17.4859,2.33894,31.9422,67.3675,15.4386,83.452,Fine grained Sandstone,Raniganj,Sandstone (SST)
140.027,2,17.6581,2.24782,13.599,73.8646,15.2363,86.9092,Dark Grey Shale,Raniganj,dgs
140.257,2,17.7772,2.09619,7.77961,68.0141,13.3747,123.555,Coal ( Sub bright),Raniganj,coal
140.407,2,17.849,1.93353,6.86478,56.0557,13.1926,169.881,Shaly Sandstone,Raniganj,Sandstone (SST)
140.847,2,18.0769,1.91588,7.047,75.9778,12.8891,131.161,Sandy Shale,Raniganj,ss
141.247,2,18.3974,2.34699,9.65434,55.1241,13.1522,216.899,Shaly Sandstone,Raniganj,Sandstone (SST)
142.047,2,19.1688,2.36267,29.1507,59.9983,14.2246,204.453,Fine grained sandstone with shale bands,Raniganj,Sandstone (SST)
142.447,2,19.5598,2.36487,25.8109,60.9847,14.0425,196.847,Medium grained sandstone with shale lamination,Raniganj,Sandstone (SST)
142.547,2,19.6434,2.36256,25.4439,60.9267,14.346,167.116,Shaly Sandstone,Raniganj,Sandstone (SST)
143.047,2,20.0519,2.37466,23.7966,60.5782,14.4067,156.744,Medium grained Sandstone,Raniganj,Sandstone (SST)
143.147,2,20.1115,2.3665,23.7049,60.8106,14.4067,164.35,Shaly Sandstone ,Raniganj,Sandstone (SST)
144.847,2,20.3154,2.34618,24.483,49.3811,13.4147,133.235,Medium grained sandstone with shale streaks,Raniganj,Sandstone (SST)
145.077,2,20.2617,2.33924,24.1626,49.0315,13.4152,127.012,Medium grained sandstone ,Raniganj,Sandstone (SST)
145.357,2,20.208,2.32064,23.0185,51.4681,13.2938,159.51,Medium to coarse grained sandstone,Raniganj,Sandstone (SST)
146.367,2,19.8229,2.28754,21.5541,54.3698,13.7592,124.938,Coarse grained Sandstone,Raniganj,Sandstone (SST)
147.147,2,19.3437,2.34981,23.4762,52.8612,12.707,149.83,Medium grained Sandstone,Raniganj,Sandstone (SST)
147.807,2,18.8022,2.37602,23.522,59.5953,11.7155,102.812,Coarse grained Sandstone,Raniganj,Sandstone (SST)
148.997,2,17.8987,2.4355,27.4107,63.8329,10.5015,109.035,"Fine to medium grained Sandstone, Shale streaks",Raniganj,Sandstone (SST)
149.597,2,17.6945,2.35789,33.7727,55.1241,11.9381,119.407,Fine grained sandstone ,Raniganj,Sandstone (SST)
149.907,2,17.5676,2.31516,27.8236,57.9094,11.6751,123.555,Medium grained sandstone,Raniganj,Sandstone (SST)
150.257,2,17.4432,2.31251,10.7593,64.6983,12.6868,116.641,Shaly coal with silicate mineralisation ,Raniganj,coal
150.307,2,17.4108,2.27513,8.28649,68.8705,12.6261,109.035,Shaly coal,Raniganj,coal
150.827,2,17.2986,1.54421,6.31494,107.641,12.5249,99.355,Sandy shale,Raniganj,ss
151.367,2,17.4506,2.27396,13.1304,59.0105,11.9381,209.293,Fine grained sandstone with shale bands,Raniganj,Sandstone (SST)
152.697,2,17.6871,2.33095,36.793,61.7971,12.3023,218.973,Fine grained sandstone with shale bands,Raniganj,Sandstone (SST)
153.147,2,17.7316,2.33684,22.9775,63.1934,11.7155,178.87,Grey Shale,Raniganj,Grey Shale
153.297,2,17.7493,2.30498,17.4355,55.126,11.7155,239.716,Dark grey shale,Raniganj,dgs
153.497,2,17.7848,2.21004,9.83892,55.1233,11.5334,290.882,Shaly coal ,Raniganj,coal
153.747,2,17.8223,1.87917,8.05503,63.2477,11.9786,170.573,Shaly coal ,Raniganj,coal
153.997,2,17.8717,1.66424,7.87128,84.1368,12.1,122.172,Silty shale,Raniganj,Shale
154.457,2,18.1547,2.23195,9.28866,58.0806,12.8689,184.401,Fine to medium grained Sandstone,Raniganj,Sandstone (SST)
155.697,2,19.1612,2.30984,23.3846,57.4452,12.3428,177.487,Fine grained sandstone with shale bands,Raniganj,Sandstone (SST)
155.937,2,19.3384,2.27347,21.966,56.981,12.1,178.179,Sandy shale,Raniganj,ss
157.797,2,20.5532,2.3378,20.2728,49.1475,11.3513,152.595,Fine grained sandstone,Raniganj,Sandstone (SST)
