Depth (m),LITHOLOGY DESCRIPTION,Formation,CLASSIFIED LITHOLOGY
329.097,Intercalation sand<shale,Raniganj,ss
329.397,Fine grained sandstone,Raniganj,Sandstone (SST)
331.097,Intercalation sand<shale,Raniganj,ss
332.547,Intercalation sand<shale,Raniganj,ss
335.097,Sandy shale,Raniganj,ss
337.097,Dark grey Shale,Barren Measures,dgs
337.747,Dark grey Shale,Barren Measures,dgs
341.597,Dark grey Shale,Barren Measures,dgs
345.297,Dark grey Shale,Barren Measures,dgs
345.797,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
350.297,Dark grey Shale,Barren Measures,dgs
354.797,Dark grey Shale,Barren Measures,dgs
359.297,Dark grey Shale,Barren Measures,dgs
363.797,Dark grey Shale,Barren Measures,dgs
368.297,Dark grey Shale,Barren Measures,dgs
369.347,Dark grey Shale,Barren Measures,dgs
369.847,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
372.697,Dark grey Shale,Barren Measures,dgs
376.297,Dark grey Shale,Barren Measures,dgs
380.797,Dark grey Shale,Barren Measures,dgs
383.297,Dark grey Shale,Barren Measures,dgs
385.3,Dark grey Shale,Barren Measures,dgs
385.98,Dark grey Shale,Barren Measures,dgs
386.49,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
388.3,Dark grey Shale,Barren Measures,dgs
390.6,Dark grey shale,Barren Measures,dgs
391.1,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
394.8,Dark grey shale,Barren Measures,dgs
397.6,Dark grey shale,Barren Measures,dgs
398.3,Dark grey shale,Barren Measures,dgs
402.8,Dark grey shale,Barren Measures,dgs
403.3,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
404.3,Dark grey shale,Barren Measures,dgs
408.8,Dark grey shale,Barren Measures,dgs
410.63,Dark grey shale,Barren Measures,dgs
411.14,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
412.6,Dark grey shale,Barren Measures,dgs
417.1,Dark grey shale,Barren Measures,dgs
420.9,Dark grey shale,Barren Measures,dgs
423.05,Dark grey shale,Barren Measures,dgs
423.6,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
427.1,Dark grey shale,Barren Measures,dgs
431.6,Dark grey shale,Barren Measures,dgs
436.1,Dark grey shale,Barren Measures,dgs
436.62,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
439.2,Dark grey shale,Barren Measures,dgs
442.1,Dark grey shale,Barren Measures,dgs
446.6,Dark grey shale,Barren Measures,dgs
448.15,Dark grey shale,Barren Measures,dgs
448.65,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
451.1,Dark grey shale,Barren Measures,dgs
455.1,Dark grey shale,Barren Measures,dgs
458.2,Dark grey shale,Barren Measures,dgs
462.7,Dark grey shale,Barren Measures,dgs
463.25,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
467.2,Dark grey shale,Barren Measures,dgs
471.7,Dark grey shale,Barren Measures,dgs
476.2,Dark grey shale,Barren Measures,dgs
478.7,Dark grey shale,Barren Measures,dgs
479.2,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
482.3,Dark grey shale,Barren Measures,dgs
482.8,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
484.8,Dark grey shale,Barren Measures,dgs
489.3,Dark grey shale,Barren Measures,dgs
493.08,Dark grey shale,Barren Measures,dgs
493.08,Dark grey shale,Barren Measures,dgs
493.08,Dark grey shale,Barren Measures,dgs
493.63,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
493.8,Dark grey shale,Barren Measures,dgs
504.05,Dark grey shale,Barren Measures,dgs
504.67,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
505.6,Dark grey shale,Barren Measures,dgs
509.6,Dark grey shale,Barren Measures,dgs
511.1,Dark grey shale,Barren Measures,dgs
513.6,Dark grey shale,Barren Measures,dgs
516.91,Dark grey shale,Barren Measures,dgs
517.41,Dark grey Shale (Sample Collected by CIMFR),Barren Measures,dgs
517.5,Dark grey shale,Barren Measures,dgs
521.5,Dark grey shale,Barren Measures,dgs
524.5,Dark grey shale,Barren Measures,dgs
526,Dark grey shale,Barren Measures,dgs
530.5,Dark grey shale,Barren Measures,dgs
534.3,Dark grey shale,Barren Measures,dgs
537.74,Dark grey shale,Barren Measures,dgs
538.24,Dark grey shale,Barren Measures,dgs
538.55,Dark grey shale,Barren Measures,dgs
539.55,Dark grey shale,Barren Measures,dgs
544.05,Dark grey shale,Barren Measures,dgs
548.55,Dark grey shale,Barren Measures,dgs
551.85,Dark grey shale,Barren Measures,dgs
552.8,Dark grey shale,Barren Measures,dgs
553.3,Dark grey shale,Barren Measures,dgs
553.35,Dark grey shale,Barren Measures,dgs
556.85,Dark grey shale,Barren Measures,dgs
560.27,Dark grey shale,Barren Measures,dgs
560.8,Dark grey shale,Barren Measures,dgs
561.05,Dark grey shale,Barren Measures,dgs
565.55,Dark grey shale,Barren Measures,dgs
566.05,Dark grey shale,Barren Measures,dgs
570.05,Dark grey shale,Barren Measures,dgs
574.55,Dark grey shale,Barren Measures,dgs
574.73,Dark grey shale,Barren Measures,dgs
575.23,Dark grey shale,Barren Measures,dgs
576.05,Dark grey shale,Barren Measures,dgs
580.55,Dark grey shale,Barren Measures,dgs
581.05,Dark grey shale,Barren Measures,dgs
585.05,Dark grey shale,Barren Measures,dgs
589.55,Dark grey shale,Barren Measures,dgs
589.69,Dark grey shale,Barren Measures,dgs
590.22,Dark grey shale,Barren Measures,dgs
594.05,Dark grey shale,Barren Measures,dgs
598.55,Dark grey shale,Barren Measures,dgs
598.64,Dark grey shale,Barren Measures,dgs
599.14,Dark grey shale,Barren Measures,dgs
603.05,Dark grey shale,Barren Measures,dgs
607.55,Dark grey shale,Barren Measures,dgs
611.35,Dark grey shale,Barren Measures,dgs
611.88,Dark grey shale,Barren Measures,dgs
612.05,Dark grey shale,Barren Measures,dgs
616.55,Dark grey shale,Barren Measures,dgs
620.45,Dark grey shale,Barren Measures,dgs
620.95,Dark grey shale,Barren Measures,dgs
621,Dark grey shale,Barren Measures,dgs
625.3,Dark grey shale,Barren Measures,dgs
629,Dark grey shale,Barren Measures,dgs
629.5,Dark grey shale,Barren Measures,dgs
629.8,Dark grey shale,Barren Measures,dgs
630.8,Dark grey shale,Barren Measures,dgs
633,Dark grey shale,Barren Measures,dgs
637.5,Dark grey shale,Barren Measures,dgs
638,Dark grey shale,Barren Measures,dgs
642,Dark grey shale,Barren Measures,dgs
642.5,Dark grey shale,Barren Measures,dgs
